realne,velike_op,velike_dp,male_dp,male_op
tshirt_0.png,tshirt0_openpose0.png,tshirt0_densepose0.png,tshirt0_densepose0.png,tshirt0_openpose0.png
tshirt_1.png,tshirt1_openpose1.png,tshirt1_densepose1.png,tshirt1_densepose1.png,tshirt1_openpose1.png
tshirt_2.png,tshirt2_openpose2.png,tshirt2_densepose2.png,tshirt2_densepose2.png,tshirt2_openpose2.png
tshirt_3.png,tshirt3_openpose3.png,tshirt3_densepose3.png,tshirt3_densepose3.png,tshirt3_openpose3.png
tshirt_4.png,tshirt4_openpose4.png,tshirt4_densepose4.png,tshirt4_densepose4.png,tshirt4_openpose4.png
tshirt_5.png,tshirt5_openpose5.png,tshirt5_densepose5.png,tshirt5_densepose5.png,tshirt5_openpose5.png
tshirt_6.png,tshirt6_openpose6.png,tshirt6_densepose6.png,tshirt6_densepose6.png,tshirt6_openpose6.png
tshirt_7.png,tshirt7_openpose7.png,tshirt7_densepose7.png,tshirt7_densepose7.png,tshirt7_openpose7.png
tshirt_8.png,tshirt8_openpose8.png,tshirt8_densepose8.png,tshirt8_densepose8.png,tshirt8_openpose8.png
tshirt_9.png,tshirt9_openpose9.png,tshirt9_densepose9.png,tshirt9_densepose9.png,tshirt9_openpose9.png
tshirt_10.png,tshirt10_openpose10.png,tshirt10_densepose10.png,tshirt10_densepose10.png,tshirt10_openpose10.png
tshirt_11.png,tshirt11_openpose11.png,tshirt11_densepose11.png,tshirt11_densepose11.png,tshirt11_openpose11.png
tshirt_12.png,tshirt12_openpose12.png,tshirt12_densepose12.png,tshirt12_densepose12.png,tshirt12_openpose12.png
tshirt_13.png,tshirt13_openpose13.png,tshirt13_densepose13.png,tshirt13_densepose13.png,tshirt13_openpose13.png
tshirt_14.png,tshirt14_openpose14.png,tshirt14_densepose14.png,tshirt14_densepose14.png,tshirt14_openpose14.png
tshirt_15.png,tshirt15_openpose15.png,tshirt15_densepose15.png,tshirt15_densepose15.png,tshirt15_openpose15.png
tshirt_16.png,tshirt16_openpose16.png,tshirt16_densepose16.png,tshirt16_densepose16.png,tshirt16_openpose16.png
tshirt_17.png,tshirt17_openpose17.png,tshirt17_densepose17.png,tshirt17_densepose17.png,tshirt17_openpose17.png
tshirt_18.png,tshirt18_openpose18.png,tshirt18_densepose18.png,tshirt18_densepose18.png,tshirt18_openpose18.png
tshirt_19.png,tshirt19_openpose19.png,tshirt19_densepose19.png,tshirt19_densepose19.png,tshirt19_openpose19.png
tshirt_20.png,tshirt20_openpose20.png,tshirt20_densepose20.png,tshirt20_densepose20.png,tshirt20_openpose20.png
